Restaurant Name,City,Area,Cuisine Type,Cost for Two,Ratings
Anardana,delhi-ncr,Dlf Avenue Saket,"Chinese, North Indian, Continental",₹1800 for two,4.5
Verandah Moonshine,delhi-ncr,"Punjabi Bagh, West Delhi",North Indian,₹1500 for two,3.8
The Spice Route,delhi-ncr,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi",Asian,₹6000 for two,4.7
Uncultured Cafe & Bar,delhi-ncr,"Kailash Colony, South Delhi",Multicuisine,₹1500 for two,4.2
The Flying Dutchman,delhi-ncr,"Sector 63, Noida",Multicuisine,₹1000 for two,3.8
Spice It,delhi-ncr,Ibis New Delhi Aerocity,"Multicuisine, Cocktail Menu",₹1800 for two,3.8
Oro Bar,delhi-ncr,"Radisson Blu, Paschim Vihar","Cocktail Menu, Multicuisine",₹2500 for two,4.7
Flavors,delhi-ncr,"IRIS Sarovar Portico, Sector 85",Multicuisine,₹1500 for two,4.5
Bikkgane Biryani,delhi-ncr,"Connaught Place (CP), Central Delhi",Multicuisine,₹700 for two,4.5
Ssence,delhi-ncr,"The Suryaa Hotel, New Delhi",Multicuisine,₹3000 for two,4.4
Kwality,delhi-ncr,"Connaught Place (CP), Central Delhi",Indian,₹1500 for two,4.5
Garden House Cafe & Health Kitchen,delhi-ncr,"Shahpur Jat, South Delhi",European,₹1000 for two,4.1
Clubate by Swadesi Tandoor,delhi-ncr,"Indirapuram, Ghaziabad",Multicuisine,₹800 for two,4.2
Resaca,delhi-ncr,"Karol Bagh, Central Delhi",Multicuisine,₹1200 for two,4.6
Sparrow,delhi-ncr,"Sector 96, Noida",Multicuisine,₹1500 for two,5.0
The Art House Cafe,delhi-ncr,"Connaught Place (CP), Central Delhi","Cafe, Multicuisine",₹1200 for two,3.9
MKT,delhi-ncr,The Chanakya,Multicuisine,₹2500 for two,4.5
Zaffran,delhi-ncr,"Connaught Place (CP), Central Delhi",Indian,₹1800 for two,4.5
Mamagoto,delhi-ncr,"DLF Mall of India, Sector 18, Noida",Pan Asian,₹1500 for two,4.4
Mister Chai,delhi-ncr,Shangri-La Eros New Delhi,Cafe,₹2000 for two,5.0
145 Cafe & Bar,delhi-ncr,"Cyber Hub, Gurgaon",Multicuisine,₹1500 for two,4.1
La Vie Douce,delhi-ncr,"Sector 65, Gurgaon",Bakery,₹1200 for two,4.6
Bizi Bean,delhi-ncr,"Vasant Kunj, South Delhi","Bakery, Cafe",₹500 for two,4.7
PO,delhi-ncr,"Connaught Place (CP), Central Delhi",Pan Asian,₹1200 for two,3.7
Binch,delhi-ncr,"Greater Kailash (GK) 1, South Delhi","Cocktail Menu, Multicuisine",₹1800 for two,3.2
Bell Pepperz,delhi-ncr,"Ashok Vihar Phase 2, North Delhi",Multicuisine,₹1200 for two,4.2
Drunken Affair,delhi-ncr,"Sector 4, Noida","Cocktail Menu, Multicuisine",₹1500 for two,4.0
Cafe Another Day,delhi-ncr,"District Centre, Janakpuri",Multicuisine,₹1200 for two,4.0
Pavilion 75,delhi-ncr,"WelcomHotel Dwarka, New Delhi",Multicuisine,₹7000 for two,4.2
La Fierte Restro And Bar,delhi-ncr,"Greater Noida, Noida",Multicuisine,₹1000 for two,5.0
Desi Vibes,delhi-ncr,"Sector 18, Noida","Mughlai, North Indian, Indian",₹1300 for two,4.5
Kampai,delhi-ncr,Worldmark 1,Japanese,₹1800 for two,4.6
Havemore Restaurant Bikaner House,delhi-ncr,Bikaner House,"Mughlai, North Indian",₹2000 for two,4.4
Mirage Nightclub & Air Bar,delhi-ncr,"Sector 29, Gurgaon",Cocktail Menu,₹1200 for two,2.1
Dutchman Portz,delhi-ncr,"Spectrum Metro Mall, Noida","Italian, Chinese",₹2200 for two,4.0
Kebabs & Curries Company,delhi-ncr,"Sector 31, Gurgaon",Indian,₹1000 for two,4.2
Cecilia’s Pizzeria,delhi-ncr,"Rajouri Garden, West Delhi",Pizza,₹1500 for two,4.4
Cibo,delhi-ncr,"Sector 50, Gurgaon",Multicuisine,₹1200 for two,4.6
Wow! Momo,delhi-ncr,"Karol Bagh, Central Delhi",Momos,₹400 for two,4.2
Drums of Heaven,delhi-ncr,"Green Park, South Delhi",Chinese,₹900 for two,4.5
Ministry of Beer,delhi-ncr,"Indirapuram, Ghaziabad",Multicuisine,₹2500 for two,4.6
Informal by Imperfecto,delhi-ncr,"Janpath, Connaught Place (CP), Central Delhi",Multicuisine,₹1000 for two,3.5
1911 Restaurant,delhi-ncr,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi","European, Indian",₹5000 for two,4.6
Cafe Pride,delhi-ncr,"Pride Plaza Hotel, New Delhi",Multicuisine,₹2000 for two,4.0
Float By Duty Free,delhi-ncr,"Spectrum Metro Mall, Noida","Cocktail Menu, Multicuisine",₹1500 for two,3.6
Royal Bistro Restaurant,delhi-ncr,"The Royal Plaza, New Delhi",Multicuisine,₹3000 for two,4.0
Prego,delhi-ncr,"The Westin, Gurgaon",Italian,₹3000 for two,4.3
Clock Tower,delhi-ncr,"Golf Course Road, Gurgaon",Multicuisine,₹2700 for two,4.6
Beyond Beer,delhi-ncr,"DLF Cyber City, Gurgaon",Italian,₹1200 for two,5.0
Curry House CoCo Ichibanya,delhi-ncr,"DLF Cyber City, Gurgaon","Japanese, Pan Asian",₹1000 for two,4.7
Quoin Bar,delhi-ncr,Novotel New Delhi Aerocity-An AccorHotels Brand,"Finger Food, Cocktail Menu",₹3500 for two,4.8
United Coffee House Rewind,delhi-ncr,"DLF Mall of India, Sector 18, Noida",Multicuisine,₹1500 for two,4.2
Kunga Cafe & Restaurant,delhi-ncr,"Majnu ka Tila, North Delhi",Multicuisine,₹1200 for two,4.3
Chicago Pizza,delhi-ncr,"Rajinder Nagar, Central Delhi",Pizza,₹200 for two,3.6
San Gimignano,delhi-ncr,"The Imperial New Delhi, Lobby Level Janpath Road, New Delhi",Italian,₹6000 for two,4.9
Tubata,delhi-ncr,"Saraswati Vihar, Pitampura, North Delhi",Multicuisine,₹2400 for two,3.1
Soul Pantry,delhi-ncr,"Andaz Delhi, Aerocity",Healthy Food,₹2000 for two,4.8
Porche Brewery Cocktail Bar & Kitchen,delhi-ncr,"Sector 42, Gurgaon",Multicuisine,₹1000 for two,4.5
Spice It Bar,delhi-ncr,"Hotel IBIS, Gurgaon",Multicuisine,₹1500 for two,4.5
Govardhan Vegetarian,delhi-ncr,"Kamla Nagar, North Delhi",Multicuisine,₹500 for two,4.5
Chowman,delhi-ncr,"Sector 31, Gurgaon","Chinese, Thai",₹750 for two,4.5
Matram,delhi-ncr,"Reliance Mall, Dwarka",Regional Indian,₹1500 for two,4.5
Rubarru,delhi-ncr,"Sector 142, Noida",Multicuisine,₹1200 for two,4.0
